"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Brendan Guhle","D","10.8","6","12","33.33","-20.51","3","12","20.00","-32.63","3","9","25.00","-25.00","0","0","-","-","2","6","25.00","-32.14","0","0","-","-","1","4","1","12","50.00","2","4","1","66.67"
"Casey Mittelstadt","C","11.7","10","11","47.62","-2.38","8","10","44.44","-1.85","4","8","33.33","-14.29","0","0","-","-","6","3","66.67","22.22","3","1","75.00","28.85","3","1","1","11","75.00","4","3","2","66.67"
"Conor Sheary","L","11.333333333333","7","13","35.00","-18.97","6","12","33.33","-16.67","5","11","31.25","-18.75","0","0","-","-","2","4","33.33","-20.00","1","3","25.00","-36.54","0","2","1","13","0.00","0","4","1","0.00"
"Evan Rodrigues","L","10.916666666667","9","9","50.00","0.77","7","8","46.67","1.05","3","6","33.33","-13.33","0","0","-","-","5","2","71.43","26.60","3","1","75.00","28.85","3","1","1","9","75.00","4","4","2","66.67"
"Jack Eichel","C","14.116666666667","12","15","44.44","-7.34","11","14","44.00","-2.81","9","10","47.37","4.51","2","2","50.00","-","5","9","35.71","-23.38","3","3","50.00","-4.55","4","6","3","5","57.14","7","6","5","58.33"
"Jason Pominville","R","7.3333333333333","7","6","53.85","5.27","5","6","45.45","-0.45","2","4","33.33","-12.50","0","0","-","-","5","2","71.43","26.60","3","1","75.00","28.85","3","1","1","5","75.00","4","3","2","66.67"
"Jeff Skinner","L","14.15","12","14","46.15","-4.72","11","12","47.83","2.93","9","8","52.94","12.40","2","1","66.67","66.67","5","7","41.67","-12.50","3","2","60.00","10.00","4","6","3","6","57.14","7","6","4","63.64"
"Johan Larsson","C","12.733333333333","13","7","65.00","20.56","10","6","62.50","21.43","7","5","58.33","17.86","0","0","-","-","4","3","57.14","8.87","2","1","66.67","16.67","1","3","2","8","33.33","2","4","3","40.00"
"Kyle Okposo","R","11.75","9","12","42.86","-8.76","7","12","36.84","-12.21","7","10","41.18","-4.77","0","0","-","-","3","7","30.00","-27.69","1","4","20.00","-46.67","1","3","3","10","25.00","1","4","4","20.00"
"Marco Scandella","D","14.833333333333","13","14","48.15","-1.85","9","14","39.13","-9.85","6","12","33.33","-16.67","1","1","50.00","0.00","4","6","40.00","-13.85","4","3","57.14","7.14","3","4","2","10","60.00","6","6","5","54.55"
"Matt Hunwick","D","13.116666666667","6","13","31.58","-23.11","4","13","23.53","-29.20","4","8","33.33","-14.29","0","0","-","-","4","7","36.36","-19.64","0","1","0.00","-56.25","0","4","2","11","0.00","2","5","4","33.33"
"Rasmus Dahlin","D","19.95","23","18","56.10","13.24","21","15","58.33","25.00","15","11","57.69","25.55","1","1","50.00","0.00","8","6","57.14","11.69","5","5","50.00","-7.14","2","4","1","12","66.67","6","6","3","66.67"
"Rasmus Ristolainen","D","17.283333333333","13","7","65.00","20.56","10","7","58.82","17.01","5","7","41.67","-3.57","1","1","50.00","0.00","3","2","60.00","11.61","3","1","75.00","28.85","4","5","2","11","66.67","7","6","4","63.64"
"Sam Reinhart","C","14.9","12","17","41.38","-12.32","11","16","40.74","-8.15","9","11","45.00","0.88","2","2","50.00","-","5","9","35.71","-23.38","3","3","50.00","-4.55","4","6","3","5","57.14","7","6","5","58.33"
"Tage Thompson","R","11.716666666667","13","6","68.42","24.67","9","6","60.00","17.89","6","5","54.55","12.68","0","1","0.00","-66.67","3","2","60.00","11.61","2","1","66.67","16.67","2","2","0","9","100.00","3","3","2","60.00"
"Vladimir Sobotka","C","10.683333333333","8","11","42.11","-9.46","6","11","35.29","-13.80","6","8","42.86","-2.14","0","0","-","-","2","4","33.33","-20.00","1","3","25.00","-36.54","1","2","2","9","33.33","1","3","4","20.00"
"Zach Bogosian","D","18.116666666667","21","20","51.22","3.60","19","17","52.78","13.89","15","13","53.57","18.96","1","1","50.00","0.00","11","9","55.00","11.25","6","6","50.00","-10.00","2","3","3","15","40.00","5","5","7","41.67"
"Zemgus Girgensons","C","9.0666666666667","11","5","68.75","23.97","8","4","66.67","25.00","5","4","55.56","13.33","0","0","-","-","3","2","60.00","11.61","2","1","66.67","16.67","1","2","2","6","33.33","2","2","2","50.00"
