"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Casey Mittelstadt","C","2.9","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","2","0","1","-","0","0","0","-"
"Conor Sheary","L","2.7166666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","2","0","2","-","0","0","0","-"
"Evan Rodrigues","L","2.5666666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","1","1","1","1","50.00","0","0","0","-"
"Jack Eichel","C","2.7833333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","1","2","0","2","100.00","0","0","0","-"
"Jason Pominville","R","3.7166666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","1","0","3","-","0","0","0","-"
"Jeff Skinner","L","2.6333333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","2","2","0","1","100.00","0","0","0","-"
"Johan Larsson","C","2.3833333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","1","1","0","1","100.00","0","0","0","-"
"Kyle Okposo","R","3.0166666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","1","0","2","-","0","0","0","-"
"Marco Scandella","D","4.7333333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","4","0","2","-","0","0","0","-"
"Matt Tennyson","D","2.5166666666667","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","4","-","0","0","0","-"
"Nathan Beaulieu","D","2.3833333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","0","4","-","0","0","0","-"
"Rasmus Dahlin","D","4.2","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","1","1","0","3","100.00","0","0","0","-"
"Rasmus Ristolainen","D","4.0333333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","3","0","2","-","0","0","0","-"
"Sam Reinhart","C","2.6333333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","2","2","0","1","100.00","0","0","0","-"
"Tage Thompson","R","3.5333333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","1","0","3","-","0","0","0","-"
"Vladimir Sobotka","C","3.3833333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","1","0","3","-","0","0","0","-"
"Zach Bogosian","D","5.0333333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","1","2","0","3","100.00","0","0","0","-"
"Zemgus Girgensons","C","2.0833333333333","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","0","0","-","-","1","1","0","2","100.00","0","0","0","-"
