"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Casey Mittelstadt","C","4","6","1","85.71","43.61","4","1","80.00","37.14","3","1","75.00","35.00","1","1","50.00","-50.00","3","1","75.00","50.00","0","1","0.00","-100.00","2","1","0","3","100.00","3","2","0","100.00"
"Conor Sheary","L","3.2833333333333","6","1","85.71","43.61","4","1","80.00","37.14","3","1","75.00","35.00","1","1","50.00","-50.00","3","1","75.00","50.00","0","1","0.00","-100.00","3","1","0","2","100.00","3","2","0","100.00"
"Evan Rodrigues","L","5.3833333333333","1","4","20.00","-41.90","1","4","20.00","-44.29","1","3","25.00","-35.00","0","0","-","-","0","0","-","-","0","0","-","-","0","1","0","5","-","0","2","1","0.00"
"Jack Eichel","C","6.6","7","5","58.33","8.33","5","3","62.50","17.05","3","3","50.00","0.00","1","0","100.00","50.00","4","2","66.67","66.67","2","0","100.00","100.00","1","2","0","4","100.00","1","3","0","100.00"
"Jason Pominville","R","4.6","0","3","0.00","-60.87","0","2","0.00","-58.82","0","1","0.00","-53.85","0","0","-","-","0","1","0.00","-57.14","0","0","-","-","1","3","0","2","100.00","2","3","1","66.67"
"Jeff Skinner","L","6.45","7","4","63.64","16.97","5","2","71.43","29.76","3","2","60.00","15.56","1","0","100.00","50.00","4","2","66.67","66.67","2","0","100.00","100.00","1","2","0","4","100.00","1","3","0","100.00"
"Johan Larsson","C","5.0333333333333","1","3","25.00","-34.09","1","3","25.00","-35.00","1","2","33.33","-21.21","0","0","-","-","0","0","-","-","0","0","-","-","0","1","0","5","-","0","2","1","0.00"
"Kyle Okposo","R","3.7166666666667","6","1","85.71","43.61","4","1","80.00","37.14","3","1","75.00","35.00","1","1","50.00","-50.00","3","1","75.00","50.00","0","1","0.00","-100.00","2","1","0","3","100.00","3","2","0","100.00"
"Lawrence Pilut","D","7.25","4","7","36.36","-30.30","4","5","44.44","-15.56","3","4","42.86","-14.29","1","0","100.00","50.00","3","3","50.00","0.00","2","0","100.00","100.00","1","3","0","5","100.00","2","5","0","100.00"
"Matt Tennyson","D","4.4666666666667","4","1","80.00","32.38","4","1","80.00","37.14","3","1","75.00","35.00","1","0","100.00","50.00","2","0","100.00","66.67","0","0","-","-","1","1","0","5","100.00","3","1","0","100.00"
"Nathan Beaulieu","D","5.1666666666667","6","1","85.71","43.61","4","1","80.00","37.14","3","1","75.00","35.00","1","0","100.00","50.00","3","0","100.00","80.00","0","0","-","-","1","1","0","5","100.00","3","1","0","100.00"
"Rasmus Dahlin","D","7.1833333333333","4","4","50.00","-5.56","2","3","40.00","-17.14","1","2","33.33","-21.21","0","1","0.00","-100.00","1","1","50.00","0.00","0","1","0.00","-100.00","1","2","0","5","100.00","1","4","2","33.33"
"Rasmus Ristolainen","D","8.3666666666667","5","6","45.45","-14.55","3","4","42.86","-15.48","2","3","40.00","-15.56","0","0","-","-","3","2","60.00","26.67","1","0","100.00","50.00","1","3","0","5","100.00","2","5","0","100.00"
"Sam Reinhart","C","6.5666666666667","7","4","63.64","16.97","5","2","71.43","29.76","3","2","60.00","15.56","1","0","100.00","50.00","4","2","66.67","66.67","2","0","100.00","100.00","1","2","0","4","100.00","1","3","0","100.00"
"Tage Thompson","R","4.8833333333333","0","3","0.00","-60.87","0","2","0.00","-58.82","0","1","0.00","-53.85","0","0","-","-","0","1","0.00","-57.14","0","0","-","-","1","3","0","2","100.00","2","3","1","66.67"
"Vladimir Sobotka","C","4.2333333333333","0","3","0.00","-60.87","0","2","0.00","-58.82","0","1","0.00","-53.85","0","0","-","-","0","1","0.00","-57.14","0","0","-","-","1","3","0","2","100.00","2","3","1","66.67"
"Zach Bogosian","D","7.5666666666667","5","5","50.00","-6.25","3","4","42.86","-15.48","2","3","40.00","-15.56","1","1","50.00","-50.00","2","2","50.00","0.00","1","1","50.00","-50.00","1","1","0","6","100.00","1","4","2","33.33"
"Zemgus Girgensons","C","5.25","1","4","20.00","-41.90","1","4","20.00","-44.29","1","3","25.00","-35.00","0","0","-","-","0","0","-","-","0","0","-","-","0","1","0","5","-","0","2","1","0.00"
