"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Brendan Guhle","D","7.1333333333333","2","9","18.18","-42.93","1","9","10.00","-48.06","1","6","14.29","-44.05","0","0","-","-","2","5","28.57","-30.25","0","0","-","-","1","3","1","5","50.00","2","3","1","66.67"
"Casey Mittelstadt","C","6.8666666666667","7","6","53.85","3.85","6","6","50.00","5.17","3","4","42.86","-7.14","0","0","-","-","6","3","66.67","26.67","3","1","75.00","25.00","3","1","1","4","75.00","4","2","1","80.00"
"Conor Sheary","L","6.2333333333333","5","8","38.46","-17.42","4","8","33.33","-18.39","4","7","36.36","-18.64","0","0","-","-","2","3","40.00","-12.63","1","2","33.33","-30.30","0","2","1","5","0.00","0","3","1","0.00"
"Evan Rodrigues","L","6.1166666666667","6","5","54.55","4.55","5","5","50.00","4.84","2","3","40.00","-10.00","0","0","-","-","5","2","71.43","30.25","3","1","75.00","25.00","3","1","1","2","75.00","4","2","1","80.00"
"Jack Eichel","C","7.95","8","8","50.00","-1.61","7","8","46.67","0.51","7","5","58.33","16.23","2","1","66.67","-","5","6","45.45","-8.39","3","2","60.00","4.44","4","3","1","3","80.00","6","3","2","75.00"
"Jason Pominville","R","5.7166666666667","6","5","54.55","4.55","5","5","50.00","4.84","2","3","40.00","-10.00","0","0","-","-","5","2","71.43","30.25","3","1","75.00","25.00","3","1","1","2","75.00","4","2","1","80.00"
"Jeff Skinner","L","8.1666666666667","8","9","47.06","-6.27","7","8","46.67","0.51","7","5","58.33","16.23","2","1","66.67","-","5","6","45.45","-8.39","3","2","60.00","4.44","4","3","1","4","80.00","6","3","2","75.00"
"Johan Larsson","C","6.7166666666667","5","2","71.43","23.93","3","1","75.00","31.76","2","1","66.67","20.24","0","0","-","-","2","1","66.67","19.05","1","1","50.00","-8.33","1","1","0","5","100.00","1","1","1","50.00"
"Kyle Okposo","R","5.95","5","7","41.67","-12.62","4","7","36.36","-13.64","4","7","36.36","-18.64","0","0","-","-","2","4","33.33","-22.22","1","3","25.00","-45.00","0","2","2","6","0.00","0","3","2","0.00"
"Marco Scandella","D","8.15","7","6","53.85","3.85","3","6","33.33","-16.67","3","5","37.50","-14.67","1","0","100.00","50.00","3","2","60.00","12.63","3","2","60.00","4.44","2","2","1","6","66.67","5","3","3","62.50"
"Matt Hunwick","D","8.7666666666667","3","10","23.08","-38.69","2","10","16.67","-41.95","2","6","25.00","-31.52","0","0","-","-","3","6","33.33","-26.67","0","1","0.00","-61.54","0","3","1","6","0.00","2","3","1","66.67"
"Rasmus Dahlin","D","10.616666666667","14","10","58.33","14.86","14","9","60.87","33.09","10","6","62.50","29.17","1","1","50.00","-50.00","8","5","61.54","25.17","5","4","55.56","-4.44","1","2","1","7","50.00","4","3","1","80.00"
"Rasmus Ristolainen","D","8.7666666666667","5","2","71.43","23.93","2","2","50.00","4.05","2","2","50.00","1.85","1","0","100.00","50.00","2","0","100.00","54.55","2","0","100.00","50.00","2","2","1","7","66.67","5","3","2","71.43"
"Sam Reinhart","C","8.3","8","10","44.44","-10.73","7","10","41.18","-8.82","7","6","53.85","9.40","2","1","66.67","-","5","6","45.45","-8.39","3","2","60.00","4.44","4","3","1","3","80.00","6","3","2","75.00"
"Tage Thompson","R","6.4666666666667","5","0","100.00","54.76","3","0","100.00","57.89","2","0","100.00","55.17","0","0","-","-","2","0","100.00","54.55","1","0","100.00","46.15","1","1","0","5","100.00","1","1","0","100.00"
"Vladimir Sobotka","C","5.45","4","7","36.36","-19.19","3","7","30.00","-21.61","3","6","33.33","-21.21","0","0","-","-","1","2","33.33","-19.05","1","2","33.33","-30.30","0","2","1","4","0.00","0","3","1","0.00"
"Zach Bogosian","D","10.833333333333","17","9","65.38","32.05","16","8","66.67","49.02","12","7","63.16","38.16","1","1","50.00","-50.00","10","6","62.50","37.50","6","5","54.55","-12.12","1","2","1","8","50.00","4","3","2","66.67"
"Zemgus Girgensons","C","6.8166666666667","5","2","71.43","23.93","3","1","75.00","31.76","2","1","66.67","20.24","0","0","-","-","2","1","66.67","19.05","1","1","50.00","-8.33","1","1","0","5","100.00","1","1","1","50.00"
