"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Brendan Guhle","D","3.5166666666667","1","5","16.67","-45.83","0","5","0.00","-60.00","0","3","0.00","-50.00","0","0","-","-","1","4","20.00","-46.67","0","0","-","-","1","0","1","3","50.00","1","0","1","50.00"
"Casey Mittelstadt","C","3.7166666666667","5","2","71.43","31.43","4","2","66.67","30.95","1","1","50.00","13.64","0","0","-","-","4","1","80.00","46.67","2","0","100.00","50.00","1","0","1","2","50.00","2","0","1","66.67"
"Conor Sheary","L","3.75","2","4","33.33","-22.92","2","4","33.33","-16.67","2","4","33.33","-9.52","0","0","-","-","1","2","33.33","-21.21","0","1","0.00","-80.00","0","1","1","3","0.00","0","1","1","0.00"
"Evan Rodrigues","L","3.0833333333333","4","1","80.00","38.82","3","1","75.00","37.50","0","0","-","-","0","0","-","-","3","0","100.00","63.64","2","0","100.00","50.00","1","0","1","1","50.00","2","0","1","66.67"
"Jack Eichel","C","4.7833333333333","1","6","14.29","-52.38","1","6","14.29","-47.25","1","4","20.00","-30.00","1","0","100.00","-","1","5","16.67","-58.33","1","1","50.00","-25.00","2","1","0","3","100.00","2","1","1","66.67"
"Jason Pominville","R","2.7833333333333","4","1","80.00","38.82","3","1","75.00","37.50","0","0","-","-","0","0","-","-","3","0","100.00","63.64","2","0","100.00","50.00","1","0","1","1","50.00","2","0","1","66.67"
"Jeff Skinner","L","4.4166666666667","1","6","14.29","-52.38","1","6","14.29","-47.25","1","4","20.00","-30.00","1","0","100.00","-","1","5","16.67","-58.33","1","1","50.00","-25.00","2","1","0","3","100.00","2","1","1","66.67"
"Johan Larsson","C","4.2166666666667","4","0","100.00","61.11","3","0","100.00","64.71","2","0","100.00","72.73","0","0","-","-","2","0","100.00","58.33","1","0","100.00","40.00","0","0","0","4","-","0","0","0","-"
"Kyle Okposo","R","3.3666666666667","2","4","33.33","-22.92","2","4","33.33","-16.67","2","4","33.33","-9.52","0","0","-","-","1","2","33.33","-21.21","0","1","0.00","-80.00","0","1","1","3","0.00","0","1","1","0.00"
"Marco Scandella","D","4.8166666666667","1","2","33.33","-19.30","0","2","0.00","-50.00","0","2","0.00","-45.45","0","0","-","-","0","0","-","-","0","0","-","-","0","1","1","4","0.00","1","1","2","33.33"
"Matt Hunwick","D","5.2666666666667","2","6","25.00","-39.29","1","6","14.29","-47.25","1","3","25.00","-19.44","0","0","-","-","2","5","28.57","-42.86","0","1","0.00","-80.00","0","0","1","5","0.00","1","0","1","50.00"
"Rasmus Dahlin","D","6.1166666666667","8","4","66.67","36.67","8","4","66.67","54.17","4","3","57.14","40.48","1","0","100.00","-","5","3","62.50","29.17","4","2","66.67","-","0","0","0","5","-","2","1","0","100.00"
"Rasmus Ristolainen","D","5.4333333333333","1","2","33.33","-19.30","0","2","0.00","-50.00","0","2","0.00","-45.45","0","0","-","-","0","0","-","-","0","0","-","-","0","1","1","5","0.00","1","1","2","33.33"
"Sam Reinhart","C","4.9833333333333","1","6","14.29","-52.38","1","6","14.29","-47.25","1","4","20.00","-30.00","1","0","100.00","-","1","5","16.67","-58.33","1","1","50.00","-25.00","2","1","0","3","100.00","2","1","1","66.67"
"Tage Thompson","R","4.4","4","0","100.00","61.11","3","0","100.00","64.71","2","0","100.00","72.73","0","0","-","-","2","0","100.00","58.33","1","0","100.00","40.00","0","0","0","4","-","0","0","0","-"
"Vladimir Sobotka","C","2.9333333333333","1","3","25.00","-30.56","1","3","25.00","-25.00","1","3","25.00","-19.44","0","0","-","-","0","1","0.00","-53.85","0","1","0.00","-80.00","0","1","1","2","0.00","0","1","1","0.00"
"Zach Bogosian","D","6.45","9","3","75.00","55.00","9","3","75.00","75.00","5","3","62.50","62.50","1","0","100.00","-","6","2","75.00","58.33","4","1","80.00","80.00","0","0","0","6","-","2","1","0","100.00"
"Zemgus Girgensons","C","4.2166666666667","4","0","100.00","61.11","3","0","100.00","64.71","2","0","100.00","72.73","0","0","-","-","2","0","100.00","58.33","1","0","100.00","40.00","0","0","0","4","-","0","0","0","-"
