"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Casey Mittelstadt","C","6.6","3","11","21.43","-23.02","2","8","20.00","-24.12","1","4","20.00","-25.45","0","0","-","-","2","6","25.00","-30.88","0","1","0.00","-28.57","0","3","2","2","0.00","0","3","4","0.00"
"Conor Sheary","L","5.5666666666667","3","7","30.00","-10.82","2","5","28.57","-11.97","1","2","33.33","-8.33","0","0","-","-","2","4","33.33","-19.44","0","0","-","-","0","3","0","4","-","0","3","0","-"
"Evan Rodrigues","L","5.2","5","5","50.00","13.27","3","4","42.86","5.02","2","3","40.00","-0.91","0","1","0.00","-50.00","2","3","40.00","-11.35","0","2","0.00","-33.33","1","1","2","4","33.33","1","3","4","20.00"
"Jack Eichel","C","8.0166666666667","7","13","35.00","-6.03","6","9","40.00","2.07","4","5","44.44","5.56","1","1","50.00","50.00","4","7","36.36","-18.48","2","2","50.00","50.00","1","3","1","5","50.00","4","4","1","80.00"
"Jason Pominville","R","8.4666666666667","8","9","47.06","11.34","6","7","46.15","10.67","4","4","50.00","13.16","0","0","-","-","4","6","40.00","-13.13","1","2","33.33","13.33","0","3","1","5","0.00","1","4","2","33.33"
"Jeff Skinner","L","7.8666666666667","6","13","31.58","-10.92","5","9","35.71","-4.29","3","5","37.50","-4.61","1","1","50.00","50.00","3","7","30.00","-26.25","1","2","33.33","13.33","2","3","1","4","66.67","4","4","1","80.00"
"Johan Larsson","C","4.5833333333333","5","4","55.56","19.56","3","4","42.86","5.02","2","4","33.33","-9.52","0","1","0.00","-50.00","2","2","50.00","0.00","0","1","0.00","-28.57","1","1","2","3","33.33","1","3","2","33.33"
"Kyle Okposo","R","7.0166666666667","4","11","26.67","-16.52","2","8","20.00","-24.12","1","4","20.00","-25.45","0","0","-","-","3","6","33.33","-21.21","0","1","0.00","-28.57","0","1","2","4","0.00","0","3","4","0.00"
"Marco Scandella","D","12.4","5","19","20.83","-30.60","4","16","20.00","-34.17","4","8","33.33","-13.33","0","0","-","-","1","12","7.69","-61.27","0","3","0.00","-40.00","0","8","2","5","0.00","2","11","4","33.33"
"Matt Tennyson","D","5","5","7","41.67","3.37","4","5","44.44","7.30","2","3","40.00","-0.91","0","2","0.00","-100.00","3","5","37.50","-15.44","1","2","33.33","13.33","0","0","1","6","0.00","1","0","2","33.33"
"Nathan Beaulieu","D","3.4","5","3","62.50","27.21","4","3","57.14","22.01","2","2","50.00","10.87","0","2","0.00","-100.00","3","3","50.00","0.00","1","2","33.33","13.33","0","0","0","5","-","1","0","0","100.00"
"Rasmus Dahlin","D","10.066666666667","13","11","54.17","25.60","9","7","56.25","27.68","5","6","45.45","7.95","1","0","100.00","100.00","7","5","58.33","11.67","1","1","50.00","33.33","2","1","1","8","66.67","3","3","2","60.00"
"Rasmus Ristolainen","D","11.383333333333","4","20","16.67","-37.62","3","15","16.67","-37.18","3","7","30.00","-17.06","1","0","100.00","100.00","1","13","7.14","-64.29","1","3","25.00","0.00","1","5","3","3","25.00","2","7","6","25.00"
"Sam Reinhart","C","7.4","6","13","31.58","-10.92","5","9","35.71","-4.29","3","5","37.50","-4.61","1","1","50.00","50.00","3","7","30.00","-26.25","1","2","33.33","13.33","2","3","1","4","66.67","4","4","1","80.00"
"Tage Thompson","R","8.4166666666667","9","10","47.37","12.37","7","8","46.67","12.18","5","5","50.00","14.71","0","0","-","-","4","7","36.36","-18.48","1","2","33.33","13.33","0","3","0","6","-","1","4","2","33.33"
"Vladimir Sobotka","C","8.1333333333333","8","9","47.06","11.34","6","7","46.15","10.67","4","4","50.00","13.16","0","0","-","-","3","6","33.33","-21.21","0","2","0.00","-33.33","0","3","1","5","0.00","1","4","2","33.33"
"Zach Bogosian","D","12.3","14","12","53.85","26.57","10","8","55.56","28.63","6","6","50.00","16.67","0","0","-","-","7","4","63.64","18.48","0","1","0.00","-28.57","2","4","1","9","66.67","3","7","2","60.00"
"Zemgus Girgensons","C","4.35","5","3","62.50","27.21","4","3","57.14","22.01","3","3","50.00","11.90","0","1","0.00","-50.00","1","2","33.33","-17.95","0","1","0.00","-28.57","1","1","1","4","50.00","1","3","1","50.00"
