"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Casey Mittelstadt","C","12.95","14","12","53.85","-0.92","11","9","55.00","-4.02","8","7","53.33","-4.81","1","1","50.00","-50.00","7","4","63.64","18.81","2","2","50.00","-21.43","5","1","1","10","83.33","9","3","4","69.23"
"Conor Sheary","L","10.05","13","11","54.17","-0.48","10","8","55.56","-3.17","7","6","53.85","-3.93","1","1","50.00","-50.00","7","3","70.00","26.67","2","2","50.00","-21.43","7","1","1","7","87.50","9","3","3","75.00"
"Evan Rodrigues","L","15.116666666667","13","14","48.15","-8.48","8","10","44.44","-17.46","5","8","38.46","-23.76","1","0","100.00","33.33","6","4","60.00","13.33","2","1","66.67","0.00","0","3","2","10","0.00","0","5","4","0.00"
"Jack Eichel","C","16.916666666667","21","16","56.76","3.33","18","12","60.00","3.14","12","8","60.00","4.74","1","0","100.00","33.33","10","9","52.63","5.01","5","2","71.43","7.79","1","5","2","10","33.33","3","8","6","33.33"
"Jason Pominville","R","11.616666666667","15","8","65.22","13.49","13","4","76.47","23.35","10","3","76.92","25.81","0","0","-","-","10","3","76.92","39.89","4","1","80.00","18.46","2","3","4","6","33.33","7","5","7","50.00"
"Jeff Skinner","L","17.183333333333","22","17","56.41","2.89","19","12","61.29","5.29","13","8","61.90","7.85","1","0","100.00","33.33","10","10","50.00","0.00","5","2","71.43","7.79","1","5","2","10","33.33","3","8","6","33.33"
"Johan Larsson","C","13.716666666667","13","14","48.15","-8.48","8","9","47.06","-13.88","5","7","41.67","-19.20","1","0","100.00","33.33","6","4","60.00","13.33","2","1","66.67","0.00","0","3","2","10","0.00","0","5","4","0.00"
"Kyle Okposo","R","11.883333333333","12","11","52.17","-3.00","9","8","52.94","-6.43","7","6","53.85","-3.93","1","1","50.00","-50.00","6","3","66.67","21.51","1","2","33.33","-40.00","5","1","1","9","83.33","9","3","4","69.23"
"Lawrence Pilut","D","18.75","21","19","52.50","-3.21","19","13","59.38","2.23","12","10","54.55","-3.79","1","0","100.00","33.33","14","5","73.68","45.11","10","1","90.91","62.34","5","5","6","10","45.45","7","9","9","43.75"
"Matt Tennyson","D","12.2","14","9","60.87","8.00","12","9","57.14","-1.19","10","7","58.82","2.73","1","0","100.00","33.33","5","4","55.56","7.17","1","1","50.00","-18.75","4","2","3","10","57.14","7","2","4","63.64"
"Nathan Beaulieu","D","14.466666666667","17","10","62.96","11.16","15","9","62.50","6.36","14","8","63.64","10.86","1","0","100.00","33.33","6","5","54.55","6.27","0","2","0.00","-75.00","4","1","3","12","57.14","9","2","4","69.23"
"Rasmus Dahlin","D","21.383333333333","21","21","50.00","-7.35","14","13","51.85","-9.26","8","8","50.00","-9.52","0","1","0.00","-100.00","11","11","50.00","0.00","2","4","33.33","-50.00","1","4","4","14","20.00","4","10","9","30.77"
"Rasmus Ristolainen","D","22.25","25","20","55.56","1.71","20","12","62.50","7.40","14","9","60.87","6.58","1","0","100.00","33.33","16","4","80.00","60.00","8","1","88.89","44.44","5","3","6","11","45.45","8","9","9","47.06"
"Sam Reinhart","C","17.55","20","17","54.05","-0.74","17","12","58.62","0.93","11","8","57.89","1.48","1","0","100.00","33.33","10","10","50.00","0.00","5","2","71.43","7.79","1","5","2","10","33.33","3","8","6","33.33"
"Tage Thompson","R","11.6","12","8","60.00","6.67","10","4","71.43","16.20","8","3","72.73","19.54","0","0","-","-","9","3","75.00","35.71","3","1","75.00","10.71","4","3","4","4","50.00","7","5","7","50.00"
"Vladimir Sobotka","C","11.55","12","8","60.00","6.67","10","4","71.43","16.20","8","3","72.73","19.54","0","0","-","-","9","3","75.00","35.71","3","1","75.00","10.71","4","3","5","4","44.44","7","5","8","46.67"
"Zach Bogosian","D","20.466666666667","22","21","51.16","-5.55","14","12","53.85","-6.15","8","8","50.00","-9.52","2","1","66.67","-33.33","12","11","52.17","5.12","3","3","50.00","-25.00","1","4","2","13","33.33","3","10","7","30.00"
"Zemgus Girgensons","C","13.766666666667","13","14","48.15","-8.48","8","10","44.44","-17.46","5","8","38.46","-23.76","1","0","100.00","33.33","6","4","60.00","13.33","2","1","66.67","0.00","0","3","2","10","0.00","0","5","4","0.00"
