"Player","Position","TOI","CF","CA","CF%","CF% Rel","FF","FA","FF%","FF% Rel","SF","SA","SF%","SF% Rel","GF","GA","GF%","GF% Rel","SCF","SCA","SCF%","SCF% Rel","HDCF","HDCA","HDCF%","HDCF% Rel","Off. Zone Shift Starts","Neu. Zone Shift Starts","Def. Zone Shift Starts","On the Fly Shift Starts","Off. Zone Shift Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"Casey Mittelstadt","C","10.7","6","14","30.00","-8.81","4","9","30.77","-6.97","2","4","33.33","-6.06","0","0","-","-","4","7","36.36","-16.58","1","1","50.00","25.00","0","4","2","6","0.00","1","4","4","20.00"
"Conor Sheary","L","10.583333333333","6","11","35.29","-1.85","4","7","36.36","0.00","2","2","50.00","12.86","0","0","-","-","4","6","40.00","-11.92","1","1","50.00","25.00","0","4","0","8","-","1","4","0","100.00"
"Evan Rodrigues","L","9.2666666666667","6","9","40.00","3.89","3","7","30.00","-7.50","2","5","28.57","-12.05","0","1","0.00","-50.00","2","4","33.33","-18.45","0","2","0.00","-33.33","1","1","4","7","20.00","1","3","8","11.11"
"Jack Eichel","C","14.383333333333","12","21","36.36","-0.67","10","17","37.04","1.14","6","9","40.00","2.50","1","1","50.00","50.00","8","12","40.00","-14.76","3","5","37.50","20.83","3","4","1","8","75.00","6","5","2","75.00"
"Jason Pominville","R","11.883333333333","9","12","42.86","8.01","7","9","43.75","9.75","5","6","45.45","9.74","0","0","-","-","5","8","38.46","-14.60","1","2","33.33","6.06","1","4","1","8","50.00","3","5","2","60.00"
"Jeff Skinner","L","13.1","10","20","33.33","-5.26","9","16","36.00","-0.59","5","8","38.46","0.00","1","1","50.00","50.00","7","11","38.89","-15.66","2","5","28.57","0.00","4","4","1","8","80.00","6","5","2","75.00"
"Johan Larsson","C","8.8","5","9","35.71","-1.27","3","8","27.27","-10.91","2","6","25.00","-16.94","0","1","0.00","-50.00","2","4","33.33","-18.45","0","2","0.00","-33.33","1","1","4","6","20.00","1","3","6","14.29"
"Kyle Okposo","R","11.733333333333","7","15","31.82","-6.64","4","10","28.57","-9.89","2","4","33.33","-6.06","0","0","-","-","5","8","38.46","-14.60","1","2","33.33","6.06","0","2","2","8","0.00","1","4","4","20.00"
"Marco Scandella","D","19.866666666667","6","30","16.67","-34.31","5","25","16.67","-36.11","5","13","27.78","-19.84","0","0","-","-","2","18","10.00","-59.05","1","5","16.67","-20.83","1","10","4","11","20.00","4","13","8","33.33"
"Matt Tennyson","D","8.0333333333333","6","8","42.86","7.24","5","6","45.45","10.91","3","3","50.00","13.64","0","2","0.00","-100.00","4","6","40.00","-11.92","1","3","25.00","-5.00","0","1","1","9","0.00","1","1","3","25.00"
"Nathan Beaulieu","D","3.4","5","3","62.50","28.32","4","3","57.14","23.24","2","2","50.00","12.86","0","2","0.00","-100.00","3","3","50.00","0.00","1","2","33.33","6.06","0","0","0","5","-","1","0","0","100.00"
"Rasmus Dahlin","D","17.5","18","16","52.94","26.53","12","11","52.17","24.27","6","8","42.86","6.86","1","0","100.00","100.00","10","7","58.82","12.16","1","2","33.33","6.06","3","2","2","15","60.00","5","4","4","55.56"
"Rasmus Ristolainen","D","19.466666666667","8","31","20.51","-29.49","7","24","22.58","-25.99","5","11","31.25","-12.23","1","0","100.00","100.00","5","19","20.83","-47.59","2","6","25.00","-8.33","1","6","3","12","25.00","3","8","8","27.27"
"Sam Reinhart","C","13.3","11","21","34.38","-3.81","9","17","34.62","-2.88","5","9","35.71","-4.29","1","1","50.00","50.00","7","12","36.84","-18.97","2","5","28.57","0.00","4","4","1","7","80.00","6","5","2","75.00"
"Tage Thompson","R","12","10","14","41.67","6.75","8","11","42.11","8.06","6","8","42.86","6.86","0","0","-","-","5","10","33.33","-21.99","1","2","33.33","6.06","1","4","0","9","100.00","3","5","2","60.00"
"Vladimir Sobotka","C","11.45","9","12","42.86","8.01","7","9","43.75","9.75","5","6","45.45","9.74","0","0","-","-","4","8","33.33","-20.67","0","2","0.00","-33.33","1","4","1","8","50.00","3","5","2","60.00"
"Zach Bogosian","D","22.383333333333","21","22","48.84","23.84","15","15","50.00","25.00","9","11","45.00","13.42","0","0","-","-","12","9","57.14","10.80","2","2","50.00","30.00","3","5","1","16","75.00","8","8","3","72.73"
"Zemgus Girgensons","C","8.3166666666667","5","7","41.67","5.67","4","6","40.00","4.29","3","5","37.50","-1.21","0","1","0.00","-50.00","1","3","25.00","-26.72","0","1","0.00","-30.77","1","1","3","7","25.00","1","3","5","16.67"
