GameID PNum TOI:1 TOI:2 TOI:3 CF:1 CF:2 CF:3 CA:1 CA:2 CA:3 FF:1 FF:2 FF:3 FA:1 FA:2 FA:3 SF:1 SF:2 SF:3 SA:1 SA:2 SA:3 GF:1 GF:2 GF:3 GA:1 GA:2 GA:3 SCF:1 SCF:2 SCF:3 SCA:1 SCA:2 SCA:3 HCDF:1 HCDF:2 HCDF:3 HCDA:1 HCDA:2 HCDA:3
34 6 0 744 0 0 5 0 0 19 0 0 4 0 0 16 0 0 4 0 0 8 0 0 0 0 0 0 0 0 1 0 0 12 0 0 0 0 0 3 0
34 6 0 0 1192 0 0 6 0 0 30 0 0 5 0 0 25 0 0 5 0 0 13 0 0 0 0 0 0 0 0 2 0 0 18 0 0 1 0 0 5
35 6 289 0 0 1 0 0 2 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
35 6 0 489 0 0 7 0 0 6 0 0 3 0 0 6 0 0 3 0 0 5 0 0 1 0 0 0 0 0 3 0 0 2 0 0 3 0 0 2 0
35 6 0 0 890 0 0 13 0 0 14 0 0 9 0 0 14 0 0 6 0 0 12 0 0 1 0 0 1 0 0 4 0 0 6 0 0 4 0 0 3
