GameID PNum TOI:1 TOI:2 TOI:3 CF:1 CF:2 CF:3 CA:1 CA:2 CA:3 FF:1 FF:2 FF:3 FA:1 FA:2 FA:3 SF:1 SF:2 SF:3 SA:1 SA:2 SA:3 GF:1 GF:2 GF:3 GA:1 GA:2 GA:3 SCF:1 SCF:2 SCF:3 SCA:1 SCA:2 SCA:3 HCDF:1 HCDF:2 HCDF:3 HCDA:1 HCDA:2 HCDA:3
33 28 315 0 0 1 0 0 4 0 0 1 0 0 4 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
33 28 0 609 0 0 10 0 0 11 0 0 7 0 0 9 0 0 4 0 0 7 0 0 0 0 0 0 0 0 4 0 0 2 0 0 2 0 0 1 0
33 28 0 0 826 0 0 13 0 0 14 0 0 8 0 0 10 0 0 5 0 0 8 0 0 1 0 0 0 0 0 6 0 0 4 0 0 2 0 0 1
34 28 0 261 0 0 5 0 0 3 0 0 4 0 0 3 0 0 3 0 0 3 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 1 0
34 28 0 0 499 0 0 5 0 0 7 0 0 4 0 0 6 0 0 3 0 0 5 0 0 0 0 0 1 0 0 1 0 0 3 0 0 0 0 0 1
35 28 253 0 0 4 0 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0
35 28 0 409 0 0 5 0 0 2 0 0 3 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 1 0
35 28 0 0 544 0 0 11 0 0 5 0 0 8 0 0 4 0 0 5 0 0 4 0 0 0 0 0 0 0 0 3 0 0 2 0 0 2 0 0 1
