GameID PNum TOI:1 TOI:2 TOI:3 CF:1 CF:2 CF:3 CA:1 CA:2 CA:3 FF:1 FF:2 FF:3 FA:1 FA:2 FA:3 SF:1 SF:2 SF:3 SA:1 SA:2 SA:3 GF:1 GF:2 GF:3 GA:1 GA:2 GA:3 SCF:1 SCF:2 SCF:3 SCA:1 SCA:2 SCA:3 HCDF:1 HCDF:2 HCDF:3 HCDA:1 HCDA:2 HCDA:3
33 17 254 0 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
33 17 0 504 0 0 5 0 0 7 0 0 5 0 0 4 0 0 3 0 0 3 0 0 0 0 0 0 0 0 4 0 0 3 0 0 1 0 0 1 0
33 17 0 0 693 0 0 12 0 0 8 0 0 10 0 0 4 0 0 8 0 0 3 0 0 0 0 0 0 0 0 9 0 0 3 0 0 3 0 0 1
34 17 0 488 0 0 8 0 0 9 0 0 6 0 0 7 0 0 4 0 0 4 0 0 0 0 0 0 0 0 3 0 0 6 0 0 0 0 0 2 0
34 17 0 0 687 0 0 9 0 0 12 0 0 7 0 0 9 0 0 5 0 0 6 0 0 0 0 0 0 0 0 4 0 0 8 0 0 0 0 0 2
35 17 176 0 0 1 0 0 3 0 0 1 0 0 3 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
35 17 0 327 0 0 4 0 0 7 0 0 3 0 0 7 0 0 3 0 0 6 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 2 0
35 17 0 0 641 0 0 8 0 0 11 0 0 6 0 0 11 0 0 6 0 0 8 0 0 0 0 0 0 0 0 2 0 0 4 0 0 1 0 0 3
