With,TOI With,CF% With,FF% With,SF% With,GF/60,GA/60,GF% With,SCF% With,SCGF% With,HDCF% With,HDGF% With,MDGF% With,LDCF% With,LDGF% With,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoff %
Jason Pominville,601.0333333,53.4,54.03,54.74,3.99,2.9,57.97,53.36,54.84,59.84,55.56,52.94,54.1,85.71,1.014,16.77,17.97,2.6,33.64,86.6,75.26
Sam Reinhart,715.1833333,50.15,50.23,50.51,3.1,2.43,56.06,50.81,54.55,53.09,59.09,36.36,48.68,63.64,1.019,15.52,16.19,5.87,30.54,72.55,65.97
