Player,Position,GP,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
Jason Pominville,R,127,12.07362205,58.62,55.84,51.21,46.17,43.63,51.42,34.86,31.46,52.57,2.82,2.78,50.35,24.38,25.4,48.98,10.96,10.45,51.19,1.53,1.64,48.15,17.9,19.93,47.31,1.04,1.04,50,41.49,36,53.54,0.73,0.51,59.09,8.08,91.17,0.992,12.83,16.16,6.61,47,66,21.8,22.58,14.75,59.64
Sam Reinhart,C,133,13.58233083,57.23,54.74,51.11,44.74,42.22,51.45,32.98,31.19,51.4,2.46,2.52,49.33,24.18,23.62,50.59,10.7,9.67,52.53,1.59,1.4,53.33,17.98,18.6,49.15,0.58,1.11,34.21,38.72,36.8,51.27,0.62,0.43,59.09,7.45,91.91,0.994,13.19,15.25,8.17,41.02,61.74,22.59,22.45,17.01,57.05
