Player,GP,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60
Sam Reinhart,133,13.58233083,0.66,1.1,0.66,0.43,1.76,71.62,7.41,8.97,12.32,10.2,7.34,3.92,0.37,0.66,0.66,0.33,0.33,0,0,0.93,1.49,1.56
Jason Pominville,127,12.07362205,0.82,0.86,0.47,0.39,1.68,59.72,8.18,10.05,12.83,10.68,6.38,2.97,0.43,0.67,0.47,0.23,0.23,0,0,0.43,1.33,1.06
